Wojewodztwo;Rok;Gestosc zaludnienia na km2;Populacja;Ilosc malzenstw;Ilosc malzenstw koscielnych;Malzenstwa kobieta <=19 lat;Malzenstwa kobieta 20-24 lat;Malzenstwa kobieta 25-29 lat;Malzenstwa kobieta 30-39 lat;Malzenstwa kobieta 40-49 lat;Malzenstwa kobieta >=50 lat;Malzenstwa mezczyzna <=19 lat;Malzenstwa mezczyzna 20-24 lat;Malzenstwa mezczyzna 25-29 lat;Malzenstwa mezczyzna 30-39 lat;Malzenstwa mezczyzna 40-49 lat;Malzenstwa mezczyzna >=50 lat;Malzenstwa kobieta pochodzi ze wsi;Malzenstwa mezczyzna pochodzi ze wsi;Ilosc rozwodow;Rozwody zainicjowane przez osoby ze wsi;Rozwody zainicjowane przez kobiety <=24 lat;Rozwody zainicjowane przez kobiety 25-29 lat;Rozwody zainicjowane przez kobiety 30-39 lat;Rozwody zainicjowane przez kobiety 40-49 lat;Rozwody zainicjowane przez kobiety >=50 lat;Rozwody zainicjowane przez mezczyzn <=24 lat;Rozwody zainicjowane przez mezczyzn 25-29 lat;Rozwody zainicjowane przez mezczyzn 30-39 lat;Rozwody zainicjowane przez mezczyzn 40-49 lat;Rozwody zainicjowane przez mezczyzn >=50 lat;srednie zarobki;Ilosc zatrudnionych kobiet;Wspolczynnik feminizacji;Dzietnosc;Zgony niemowlat na 1000 urodzonych;Rozwody przy braku dzieci;Rozwody przy 1 dziecku;Rozwody przy 2 dzieciach;Rozwody przy 3 dzieciach;Rozwody przy >=4 dzieciach;Rozwody z powodu niedochowania wiernosci;Rozwody z powodu naduzycia alkoholu;Rozwody z powodu naganndego stosuknu do czlonkow rodziny;Rozwody z powodu trudnosci mieszkaniowych;Rozwody z powodu nieporozumien na tle finansowym;Rozwody z powodu niezgodnosci charakterow;Rozwody z powodu niedoboru seksualnego;Rozwody z powodu dluzszej nieobecnosci;Rozwody z powodu roznic swiatopogladowych
POMORSKIE;2003;120;2197241;11282;8053;958;5131;3342;977;387;385;187;3462;4603;1811;497;562;3744;3732;3169;411;249;695;1085;776;364;88;536;1178;874;493;2257,16;305335;105;1,334;7,2;1156;1251;571;145;46;488;336;127;6;128;896;49;19;0
SLASKIE;2003;382;4711240;23456;15991;1947;11227;6739;1942;747;904;400;7612;9596;3476;929;1242;4733;4855;7167;599;612;1564;2385;1826;780;240;1203;2570;2095;1059;2380,23;667392;107;1,1;7,8;2709;2956;1227;209;66;1028;683;452;17;226;2088;48;6;2
SWIETOKRZYSKIE;2003;110;1288155;6980;5498;716;3675;1829;428;118;147;120;2535;2962;893;223;183;3746;3746;532;133;32;132;160;136;72;9;91;180;150;102;2024,41;201809;105;1,232;6,5;207;217;84;16;8;45;37;13;3;11;94;3;1;0
WARMINSKO-MAZURSKIE;2003;59;1426235;7518;5279;795;3682;2101;594;221;241;169;2497;3073;1103;276;322;3107;3035;2473;554;236;477;815;661;284;91;355;898;752;377;2003,28;179224;105;1,336;6,3;854;958;495;107;59;300;273;86;1;41;749;7;19;2
WIELKOPOLSKIE;2003;113;3370395;17846;13946;1522;8631;5226;1411;441;417;282;6040;7482;2717;585;582;7801;7895;3631;768;331;779;1252;887;382;130;645;1348;983;525;2129,03;539688;106;1,279;6,3;1260;1450;716;154;51;461;362;153;33;173;1342;20;3;0
ZACHODNIOPOMORSKIE;2003;74;1694044;7748;4753;550;3267;2333;800;374;435;81;2143;2958;1379;450;561;2274;2271;2909;396;231;608;905;771;394;82;452;991;857;527;2134,74;226494;105;1,22;7,8;1121;1182;493;86;27;455;265;100;6;89;874;4;8;1
DOLNOSLASKIE;2004;145;2892272;13703;8980;811;5833;4360;1304;547;657;135;3699;5730;2381;624;900;3967;3907;6257;985;497;1198;2222;1573;767;167;942;2368;1780;1000;2356,89;406773;108;1,124;8,1;2204;2496;1187;271;99;702;517;251;6;170;1674;25;30;2
KUJAWSKO-POMORSKIE;2004;115;2066704;10357;7523;772;4810;3124;907;275;363;124;3149;4461;1652;382;455;4035;4154;3463;612;263;754;1233;871;342;86;583;1312;970;512;2087,3;293113;107;1,256;7,4;1100;1427;697;173;66;472;433;239;13;169;1130;32;5;0
LUBELSKIE;2004;87;2185654;11947;9205;1107;5836;3672;927;203;218;214;4130;5077;1791;307;318;6279;6382;1910;577;132;403;667;499;209;54;300;718;553;285;2096,15;344500;106;1,302;7,9;664;716;382;113;35;137;298;123;8;49;927;8;0;0
LUBUSKIE;2004;72;1007131;4445;2936;241;1942;1423;399;166;223;40;1162;1865;779;216;277;1548;1470;1968;410;132;372;721;509;234;40;280;743;579;326;2067,56;134128;106;1,249;8,3;674;746;427;91;30;225;147;126;4;64;575;5;6;1
